Left	Right
DOID:0050687	PANDAR
DOID:0050687	AFAP1-AS1
DOID:0050687	DBH-AS1
DOID:0050687	HCCAT5
DOID:0050687	CASC2
DOID:0050687	CYTOR
DOID:0050687	HCP5
DOID:0050687	LINC00654
DOID:0050687	EWSAT1
DOID:0050687	KCNQ1OT1
DOID:0050687	LINC00974
DOID:0050687	CCDC26
DOID:0050687	HNF1A-AS1
DOID:0050687	H19
DOID:0050687	LINC00663
DOID:0050687	KIRREL3-AS3
DOID:0050687	LINC01556
DOID:0050687	MEG3
DOID:0050687	NEAT1
DOID:0050687	TINCR
DOID:0050687	LINC00687
DOID:0050687	ZEB1-AS1
DOID:0050687	LINC01133
DOID:0050687	SAMMSON
DOID:0050687	PTCSC2
DOID:0050687	DISC2
DOID:0050687	LINC00032
DOID:0050687	HOTAIR
DOID:0050687	GHET1
DOID:0050687	LINC-PINT
DOID:0050687	PICSAR
DOID:0050687	CRNDE
DOID:0050687	LINC00312
DOID:0050687	MALAT1
DOID:0050687	CDKN2B-AS1
DOID:0050687	CCAT1
DOID:0050687	NPTN-IT1
DOID:0050687	IGF2-AS
DOID:0050687	WT1-AS
DOID:0050687	GACAT2
DOID:0050687	C5orf66-AS1
DOID:0050687	PVT1
DOID:0050687	CCAT2
DOID:0050687	HOTTIP
DOID:0050687	SNHG12
DOID:0050687	CBR3-AS1
DOID:0050687	UCA1
DOID:0050687	LINC00675
DOID:0050736	MIR17HG
DOID:0050736	CDKN2B-AS1
DOID:0050739	MIR17HG
DOID:0050739	CDKN2B-AS1
DOID:0050745	HULC
DOID:0050771	MEG3
DOID:0050815	PISRT1
DOID:0050828	TP53COR1
DOID:0050828	ESRG
DOID:0050828	MIR17HG
DOID:0050828	MIAT
DOID:0050828	KCNQ1OT1
DOID:0050828	H19
DOID:0050828	MALAT1
DOID:0050828	CDKN2B-AS1
DOID:0050828	CDKN2A-AS1
DOID:0050829	HCP5
DOID:0050830	CDKN2B-AS1
DOID:0050865	MEG3
DOID:0050865	MALAT1
DOID:0050865	HOTTIP
DOID:0050865	UCA1
DOID:0050866	MEG3
DOID:0050866	NEAT1
DOID:0050866	HOTAIR
DOID:0050866	MALAT1
DOID:0050866	CCAT2
DOID:0050866	UCA1
DOID:0050885	H19
DOID:0050890	XIST
DOID:0050890	ATXN8OS
DOID:0050902	MIR17HG
DOID:0050902	H19
DOID:0050908	MEG3
DOID:0050908	SNHG4
DOID:0050951	ATXN8OS
DOID:0050959	ATXN8OS
DOID:0060037	TP53TG1
DOID:0060037	LINC00299
DOID:0060037	DISC2
DOID:0060038	TP53TG1
DOID:0060038	LINC00299
DOID:0060040	DISC2
DOID:0060041	DISC2
DOID:0060056	GAS5
DOID:0060056	HCP5
DOID:0060058	HULC
DOID:0060058	GAS5
DOID:0060058	MIR17HG
DOID:0060058	TUG1
DOID:0060058	MIR155HG
DOID:0060058	DLEU2
DOID:0060058	HOTAIR
DOID:0060058	MALAT1
DOID:0060058	PVT1
DOID:0060060	HULC
DOID:0060060	GAS5
DOID:0060060	MIR17HG
DOID:0060060	TUG1
DOID:0060060	MIR155HG
DOID:0060060	HOTAIR
DOID:0060060	MALAT1
DOID:0060060	PVT1
DOID:0060072	KCNQ1OT1
DOID:0060072	H19
DOID:0060072	MEG3
DOID:0060072	HOTAIR
DOID:0060072	MALAT1
DOID:0060083	HULC
DOID:0060083	PSORS1C3
DOID:0060083	TP53COR1
DOID:0060083	GAS5
DOID:0060083	TP73-AS1
DOID:0060083	MIR17HG
DOID:0060083	TUG1
DOID:0060083	CCDC26
DOID:0060083	H19
DOID:0060083	MEG3
DOID:0060083	NEAT1
DOID:0060083	MIR155HG
DOID:0060083	MIR99AHG
DOID:0060083	DLEU2
DOID:0060083	HOTAIR
DOID:0060083	MALAT1
DOID:0060083	CDKN2B-AS1
DOID:0060083	SNHG4
DOID:0060083	CCAT1
DOID:0060083	WT1-AS
DOID:0060083	PVT1
DOID:0060083	MIR100HG
DOID:0060083	HOTAIRM1
DOID:0060083	UCA1
DOID:0060084	KCNQ1OT1
DOID:0060084	MEG3
DOID:0060085	H19
DOID:0060085	MEG3
DOID:0060085	HOTAIR
DOID:0060085	MALAT1
DOID:0060089	H19
DOID:0060089	MEG3
DOID:0060089	HOTAIR
DOID:0060089	MALAT1
DOID:0060100	PCA3
DOID:0060100	HULC
DOID:0060100	BANCR
DOID:0060100	TUSC7
DOID:0060100	GAS5
DOID:0060100	MIR17HG
DOID:0060100	EWSAT1
DOID:0060100	TUG1
DOID:0060100	MEG3
DOID:0060100	HCG4
DOID:0060100	HOTAIR
DOID:0060100	RMST
DOID:0060100	MALAT1
DOID:0060100	PVT1
DOID:0060100	HOTTIP
DOID:0060100	UCA1
DOID:0060116	BANCR
DOID:0060116	MIR17HG
DOID:0060116	MIR155HG
DOID:0060119	H19
DOID:0060119	DISC2
DOID:0060119	HOTAIR
DOID:0060119	LINC00312
DOID:0060119	MALAT1
DOID:0060119	CDKN2B-AS1
DOID:0060122	TP53COR1
DOID:0060122	H19
DOID:0060122	CDKN2B-AS1
DOID:0060131	TP53TG1
DOID:0060158	PCA3
DOID:0060158	LINC00271
DOID:0060158	HYMAI
DOID:0060158	SNHG11
DOID:0060158	KCNQ1OT1
DOID:0060158	MCHR2-AS1
DOID:0060158	H19
DOID:0060158	MEG3
DOID:0060158	PCGEM1
DOID:0060158	LINC00961
DOID:0060158	MALAT1
DOID:0060158	CDKN2B-AS1
DOID:0060158	IGF2-AS
DOID:0060158	PVT1
DOID:0060167	DISC2
DOID:0060260	PISRT1
DOID:0060289	PISRT1
DOID:0060318	NEAT1
DOID:0060318	PVT1
DOID:0060318	HOTAIRM1
DOID:0060334	HYMAI
DOID:0060464	MIR17HG
DOID:0060469	MEG3
DOID:0060689	NEAT1
DOID:0060689	PVT1
DOID:0070004	GAS5
DOID:0070004	TP73-AS1
DOID:0070004	MIR17HG
DOID:0070004	TUG1
DOID:0070004	MEG3
DOID:0070004	DLEU2
DOID:0070004	HOTAIR
DOID:0070004	MALAT1
DOID:0070004	CDKN2B-AS1
DOID:0070004	WT1-AS
DOID:0070004	PVT1
DOID:0080000	LINCMD1
DOID:0080001	GAS5
DOID:0080001	DANCR
DOID:0080001	H19
DOID:0080001	MIR155HG
DOID:0080001	HOTAIR
DOID:0080005	DANCR
DOID:0080011	DANCR
DOID:0080014	MESTIT1
DOID:0080014	KCNQ1OT1
DOID:0080014	H19
DOID:0080014	MEG3
DOID:0080014	HLA-F-AS1
DOID:0080014	XIST
DOID:0080014	NRON
DOID:0080015	H19
DOID:0080015	PVT1
DOID:0080053	H19
DOID:0080074	H19
DOID:0080144	CDKN2B-AS1
DOID:0080146	CDKN2B-AS1
DOID:0110408	ERICH1-AS1
DOID:0110408	NALT1
DOID:0110408	LINC01628
DOID:10155	HULC
DOID:10155	TP53COR1
DOID:10155	BANCR
DOID:10155	TUSC7
DOID:10155	GAS5
DOID:10155	AFAP1-AS1
DOID:10155	DANCR
DOID:10155	CASC16
DOID:10155	CASC2
DOID:10155	TUG1
DOID:10155	KCNQ1OT1
DOID:10155	LINC00583
DOID:10155	LSINCT5
DOID:10155	ZFAS1
DOID:10155	H19
DOID:10155	MEG3
DOID:10155	NEAT1
DOID:10155	CAHM
DOID:10155	NPSR1-AS1
DOID:10155	NCRUPAR
DOID:10155	XIST
DOID:10155	HOTAIR
DOID:10155	GHET1
DOID:10155	CRNDE
DOID:10155	MALAT1
DOID:10155	SNHG4
DOID:10155	CCAT1
DOID:10155	NPTN-IT1
DOID:10155	PVT1
DOID:10155	CCAT2
DOID:10155	HOTTIP
DOID:10155	HOTAIRM1
DOID:10155	PRNCR1
DOID:10155	UCA1
DOID:10283	PCA3
DOID:10283	HULC
DOID:10283	CTBP1-AS
DOID:10283	GAS5
DOID:10283	DANCR
DOID:10283	EGOT
DOID:10283	TUG1
DOID:10283	KCNQ1OT1
DOID:10283	H19
DOID:10283	MEG3
DOID:10283	NEAT1
DOID:10283	SCHLAP1
DOID:10283	PCGEM1
DOID:10283	HOTAIR
DOID:10283	PCAT5
DOID:10283	MALAT1
DOID:10283	CDKN2B-AS1
DOID:10283	TTTY15
DOID:10283	IGF2-AS
DOID:10283	PCAT1
DOID:10283	PVT1
DOID:10283	HOTTIP
DOID:10283	PRINS
DOID:10283	LINC00963
DOID:10283	C1QTNF9B-AS1
DOID:10283	PRNCR1
DOID:10283	UCA1
DOID:10286	PCA3
DOID:10348	PISRT1
DOID:1036	DLEU2
DOID:1037	TP53COR1
DOID:1037	MIR17HG
DOID:1037	NEAT1
DOID:1037	MIR155HG
DOID:1037	DLEU2
DOID:1037	CDKN2B-AS1
DOID:104	GSTT1-AS1
DOID:1040	TP53COR1
DOID:1040	MIR17HG
DOID:1040	NEAT1
DOID:1040	MIR155HG
DOID:1040	DLEU2
DOID:10534	BANCR
DOID:10534	TUSC7
DOID:10534	SPRY4-IT1
DOID:10534	GAS5
DOID:10534	LSINCT5
DOID:10534	H19
DOID:10534	MEG3
DOID:10534	TINCR
DOID:10534	HOTAIR
DOID:10534	GHET1
DOID:10534	CDKN2B-AS1
DOID:10534	CCAT1
DOID:10534	GACAT2
DOID:10534	PVT1
DOID:10534	UCA1
DOID:10584	ERICH1-AS1
DOID:10584	NALT1
DOID:10584	LINC01628
DOID:1059	LINC00299
DOID:10591	H19
DOID:10591	MALAT1
DOID:10652	LINC01080
DOID:10652	SOX2-OT
DOID:10652	HAR1A
DOID:10652	BCYRN1
DOID:10652	ATXN8OS
DOID:10652	CDKN2B-AS1
DOID:10652	CDKN2A-AS1
DOID:1067	CDKN2B-AS1
DOID:1070	CDKN2B-AS1
DOID:1074	LINCMD1
DOID:1074	PVT1
DOID:10763	H19
DOID:10763	MALAT1
DOID:1091	CDKN2B-AS1
DOID:10941	ESRG
DOID:10941	CDKN2B-AS1
DOID:10952	XIST
DOID:10976	XIST
DOID:1100	H19
DOID:11054	GAS5
DOID:11054	TUG1
DOID:11054	H19
DOID:11054	MEG3
DOID:11054	BLACAT1
DOID:11054	XIST
DOID:11054	HOTAIR
DOID:11054	GHET1
DOID:11054	MALAT1
DOID:11054	CDKN2B-AS1
DOID:11054	PCAT1
DOID:11054	PVT1
DOID:11054	UCA1
DOID:1107	SPRY4-IT1
DOID:1107	SOX2-OT
DOID:1107	HNF1A-AS1
DOID:1107	H19
DOID:1107	HOTAIR
DOID:1107	CDKN2B-AS1
DOID:1115	EWSAT1
DOID:1115	HOTAIR
DOID:1115	MALAT1
DOID:114	CDKN2B-AS1
DOID:11432	LINCMD1
DOID:11476	DANCR
DOID:11612	CTBP1-AS
DOID:117	H19
DOID:11717	HYMAI
DOID:11723	LINCMD1
DOID:11830	MIR100HG
DOID:1192	MYCNOS
DOID:1192	LINC00467
DOID:1192	NBAT1
DOID:1192	CASC15
DOID:1192	H19
DOID:1192	MEG3
DOID:1192	HAND2-AS1
DOID:1192	BCYRN1
DOID:1192	MALAT1
DOID:1192	CDKN2B-AS1
DOID:1192	PVT1
DOID:1192	MIR100HG
DOID:11934	MEG3
DOID:11934	HOTAIR
DOID:11934	MALAT1
DOID:11934	HOTTIP
DOID:11934	UCA1
DOID:11983	H19
DOID:120	GAS5
DOID:120	MIR503HG
DOID:120	TUSC8
DOID:120	CASC2
DOID:120	LSINCT5
DOID:120	H19
DOID:120	MEG3
DOID:120	NEAT1
DOID:120	LINC00629
DOID:120	XIST
DOID:120	HCG27
DOID:120	BCYRN1
DOID:120	HOTAIR
DOID:120	LUCAT1
DOID:120	LINC00961
DOID:120	HOXA11-AS
DOID:120	MALAT1
DOID:120	CDKN2B-AS1
DOID:120	CCAT1
DOID:120	PVT1
DOID:120	CCAT2
DOID:120	SNHG12
DOID:120	UCA1
DOID:1205	HCP5
DOID:1227	H19
DOID:1229	MIAT
DOID:12294	MCHR2-AS1
DOID:12336	LINC00474
DOID:12365	MIF-AS1
DOID:1240	PSORS1C3
DOID:1240	TP53COR1
DOID:1240	MIR17HG
DOID:1240	CCDC26
DOID:1240	H19
DOID:1240	MEG3
DOID:1240	NEAT1
DOID:1240	MIR155HG
DOID:1240	MIR99AHG
DOID:1240	DLEU2
DOID:1240	HOTAIR
DOID:1240	CDKN2B-AS1
DOID:1240	CCAT1
DOID:1240	WT1-AS
DOID:1240	PVT1
DOID:1240	MIR100HG
DOID:1240	HOTAIRM1
DOID:1240	UCA1
DOID:12603	CCDC26
DOID:12858	TUG1
DOID:12858	MEG3
DOID:12858	HAR1A
DOID:1287	TP53COR1
DOID:1287	ESRG
DOID:1287	MIR17HG
DOID:1287	HCP5
DOID:1287	MIAT
DOID:1287	KCNQ1OT1
DOID:1287	H19
DOID:1287	IL12A-AS1
DOID:1287	MALAT1
DOID:1287	CDKN2B-AS1
DOID:1287	CDKN2A-AS1
DOID:1289	IFNG-AS1
DOID:1289	LINC01080
DOID:1289	SOX2-OT
DOID:1289	TUG1
DOID:1289	MEG3
DOID:1289	XIST
DOID:1289	HAR1A
DOID:1289	BCYRN1
DOID:1289	ATXN8OS
DOID:1289	CDKN2B-AS1
DOID:1289	CDKN2A-AS1
DOID:12987	H19
DOID:1307	CDKN2A-AS1
DOID:13089	ESRG
DOID:13089	CDKN2B-AS1
DOID:1319	ESRG
DOID:1319	MIR17HG
DOID:1319	H19
DOID:1324	BANCR
DOID:1324	SNHG1
DOID:1324	GAS5
DOID:1324	MIR17HG
DOID:1324	AFAP1-AS1
DOID:1324	C5orf66-AS2
DOID:1324	TUG1
DOID:1324	LSINCT5
DOID:1324	HNF1A-AS1
DOID:1324	H19
DOID:1324	KIRREL3-AS3
DOID:1324	MEG3
DOID:1324	NEAT1
DOID:1324	ERICH1-AS1
DOID:1324	LINC01133
DOID:1324	XIST
DOID:1324	BCYRN1
DOID:1324	HOTAIR
DOID:1324	LINC01628
DOID:1324	LINC00473
DOID:1324	MALAT1
DOID:1324	CDKN2B-AS1
DOID:1324	CCAT1
DOID:1324	MIR124-2HG
DOID:1324	NPTN-IT1
DOID:1324	GACAT2
DOID:1324	PVT1
DOID:1324	CCAT2
DOID:1324	UCA1
DOID:13241	IL12A-AS1
DOID:13317	KCNQ1OT1
DOID:13378	THRIL
DOID:1380	GAS5
DOID:1380	CASC2
DOID:1380	HCG27
DOID:1380	HOTAIR
DOID:1380	MALAT1
DOID:1380	CDKN2B-AS1
DOID:1380	SNHG12
DOID:1398	MIF-AS1
DOID:14067	MIF-AS1
DOID:14250	NRON
DOID:1428	KCNQ1OT1
DOID:1428	H19
DOID:1432	CDKN2B-AS1
DOID:14330	XIST
DOID:14330	ATXN8OS
DOID:1440	ATXN8OS
DOID:1441	ATXN8OS
DOID:14566	PCA3
DOID:14566	HULC
DOID:14566	TRERNA1
DOID:14566	PSORS1C3
DOID:14566	CTBP1-AS
DOID:14566	TP53COR1
DOID:14566	BANCR
DOID:14566	LINC-ROR
DOID:14566	LINC00602
DOID:14566	MIR194-2HG
DOID:14566	TUSC7
DOID:14566	FAM83H-AS1
DOID:14566	SPRY4-IT1
DOID:14566	ESRG
DOID:14566	SNHG1
DOID:14566	MYCNOS
DOID:14566	SOX2-OT
DOID:14566	HYMAI
DOID:14566	GAS5
DOID:14566	TP73-AS1
DOID:14566	PTCSC3
DOID:14566	LINC00467
DOID:14566	MIR17HG
DOID:14566	PANDAR
DOID:14566	AFAP1-AS1
DOID:14566	DBH-AS1
DOID:14566	C5orf66-AS2
DOID:14566	MIR503HG
DOID:14566	EPB41L4A-AS1
DOID:14566	DANCR
DOID:14566	TUSC8
DOID:14566	CASC16
DOID:14566	HCCAT5
DOID:14566	CASC2
DOID:14566	EGOT
DOID:14566	CYTOR
DOID:14566	HCP5
DOID:14566	LINC00654
DOID:14566	NBAT1
DOID:14566	MIAT
DOID:14566	CASC15
DOID:14566	EWSAT1
DOID:14566	TUG1
DOID:14566	KCNQ1OT1
DOID:14566	LINC00974
DOID:14566	LINC00583
DOID:14566	LINC00261
DOID:14566	LSINCT5
DOID:14566	CCDC26
DOID:14566	ZFAS1
DOID:14566	HNF1A-AS1
DOID:14566	H19
DOID:14566	LINC00663
DOID:14566	MIR7-3HG
DOID:14566	KIRREL3-AS3
DOID:14566	LINC01556
DOID:14566	MEG3
DOID:14566	NEAT1
DOID:14566	CAHM
DOID:14566	NPSR1-AS1
DOID:14566	MIR155HG
DOID:14566	ERICH1-AS1
DOID:14566	TINCR
DOID:14566	SCHLAP1
DOID:14566	BLACAT1
DOID:14566	LINC00687
DOID:14566	MIR99AHG
DOID:14566	NCRUPAR
DOID:14566	LINC00629
DOID:14566	HCG4
DOID:14566	ZEB1-AS1
DOID:14566	LINC01133
DOID:14566	LINC01024
DOID:14566	HAND2-AS1
DOID:14566	XIST
DOID:14566	SAMMSON
DOID:14566	DLEU2
DOID:14566	HCG27
DOID:14566	LINC00511
DOID:14566	BCYRN1
DOID:14566	LINC00472
DOID:14566	PCGEM1
DOID:14566	PTCSC2
DOID:14566	DISC2
DOID:14566	TDRG1
DOID:14566	LINC00032
DOID:14566	HOTAIR
DOID:14566	LINC01628
DOID:14566	GHET1
DOID:14566	LUCAT1
DOID:14566	LINC00961
DOID:14566	LINC-PINT
DOID:14566	PICSAR
DOID:14566	BCAR4
DOID:14566	FENDRR
DOID:14566	PCAT5
DOID:14566	HOXA11-AS
DOID:14566	LINC00473
DOID:14566	CRNDE
DOID:14566	LINC00312
DOID:14566	RMST
DOID:14566	MALAT1
DOID:14566	CDKN2B-AS1
DOID:14566	SNHG4
DOID:14566	CCAT1
DOID:14566	TTTY15
DOID:14566	MIR124-2HG
DOID:14566	NPTN-IT1
DOID:14566	IGF2-AS
DOID:14566	PCAT1
DOID:14566	WT1-AS
DOID:14566	GACAT2
DOID:14566	CDR1-AS
DOID:14566	C5orf66-AS1
DOID:14566	TARID
DOID:14566	MINCR
DOID:14566	PVT1
DOID:14566	CCAT2
DOID:14566	HOTTIP
DOID:14566	PRINS
DOID:14566	LINC00963
DOID:14566	MIR100HG
DOID:14566	C1QTNF9B-AS1
DOID:14566	HOTAIRM1
DOID:14566	SNHG12
DOID:14566	PRNCR1
DOID:14566	CBR3-AS1
DOID:14566	UCA1
DOID:14566	LINC01426
DOID:14566	LINC00675
DOID:14654	PCA3
DOID:14681	MESTIT1
DOID:14681	KCNQ1OT1
DOID:14681	H19
DOID:14681	MEG3
DOID:14681	HLA-F-AS1
DOID:1470	PWAR4
DOID:1492	PISRT1
DOID:1492	ERICH1-AS1
DOID:1492	NALT1
DOID:1492	LINC01628
DOID:1492	CDKN2B-AS1
DOID:1492	MIR100HG
DOID:15	PCA3
DOID:15	CTBP1-AS
DOID:15	LINCMD1
DOID:15	GAS5
DOID:15	LINC00474
DOID:15	H19
DOID:15	MEG3
DOID:15	SCHLAP1
DOID:15	PCGEM1
DOID:15	MALAT1
DOID:15	CDKN2B-AS1
DOID:15	IGF2-AS
DOID:15	PCAT1
DOID:15	PVT1
DOID:15	C1QTNF9B-AS1
DOID:15	PRNCR1
DOID:15	CBR3-AS1
DOID:150	TP53TG1
DOID:150	DSCR10
DOID:150	HCG9
DOID:150	LINC00163
DOID:150	LINC00271
DOID:150	PWAR4
DOID:150	MIAT
DOID:150	MCHR2-AS1
DOID:150	MEG3
DOID:150	LINC00299
DOID:150	HAR1A
DOID:150	DISC2
DOID:150	MIR137HG
DOID:150	DAOA-AS1
DOID:150	CDKN2A-AS1
DOID:154	H19
DOID:154	MEG3
DOID:1542	MEG3
DOID:1542	HOTAIR
DOID:1542	MALAT1
DOID:1542	HOTTIP
DOID:1542	UCA1
DOID:1555	HCP5
DOID:1561	DSCR10
DOID:1561	HCG9
DOID:1561	LINC00271
DOID:1561	PWAR4
DOID:1561	MIAT
DOID:1561	MCHR2-AS1
DOID:1561	HAR1A
DOID:1561	DISC2
DOID:1561	MIR137HG
DOID:1561	DAOA-AS1
DOID:1561	CDKN2A-AS1
DOID:1596	PWAR4
DOID:1596	DISC2
DOID:16	PSORS1C3
DOID:16	HCP5
DOID:16	NEAT1
DOID:16	PVT1
DOID:16	PRINS
DOID:1602	THRIL
DOID:1612	LINC-ROR
DOID:1612	SPRY4-IT1
DOID:1612	SOX2-OT
DOID:1612	GAS5
DOID:1612	PANDAR
DOID:1612	AFAP1-AS1
DOID:1612	CASC16
DOID:1612	EGOT
DOID:1612	NBAT1
DOID:1612	KCNQ1OT1
DOID:1612	LINC00583
DOID:1612	LSINCT5
DOID:1612	ZFAS1
DOID:1612	H19
DOID:1612	MEG3
DOID:1612	NEAT1
DOID:1612	XIST
DOID:1612	BCYRN1
DOID:1612	LINC00472
DOID:1612	HOTAIR
DOID:1612	LINC-PINT
DOID:1612	BCAR4
DOID:1612	MALAT1
DOID:1612	CDKN2B-AS1
DOID:1612	CCAT1
DOID:1612	MIR124-2HG
DOID:1612	PVT1
DOID:1612	CCAT2
DOID:1612	HOTTIP
DOID:1612	UCA1
DOID:1612	LINC00675
DOID:162	PCA3
DOID:162	HULC
DOID:162	TRERNA1
DOID:162	PSORS1C3
DOID:162	CTBP1-AS
DOID:162	TP53COR1
DOID:162	BANCR
DOID:162	LINC-ROR
DOID:162	LINC00602
DOID:162	MIR194-2HG
DOID:162	TUSC7
DOID:162	FAM83H-AS1
DOID:162	SPRY4-IT1
DOID:162	ESRG
DOID:162	SNHG1
DOID:162	MYCNOS
DOID:162	SOX2-OT
DOID:162	HYMAI
DOID:162	GAS5
DOID:162	TP73-AS1
DOID:162	PTCSC3
DOID:162	LINC00467
DOID:162	MIR17HG
DOID:162	PANDAR
DOID:162	AFAP1-AS1
DOID:162	DBH-AS1
DOID:162	C5orf66-AS2
DOID:162	MIR503HG
DOID:162	EPB41L4A-AS1
DOID:162	DANCR
DOID:162	TUSC8
DOID:162	CASC16
DOID:162	HCCAT5
DOID:162	CASC2
DOID:162	EGOT
DOID:162	CYTOR
DOID:162	HCP5
DOID:162	LINC00654
DOID:162	NBAT1
DOID:162	MIAT
DOID:162	CASC15
DOID:162	EWSAT1
